_PAD_	0
死囚	1
爱	2
刽子手	3
女贼	4
衙役	5
我们	6
你们	7
难道	8
还有	9
别的	10
选择	11
没想到	12
胡军	13
除了	14
蓝宇	15
东宫	16
西宫	17
我	18
个	19
去	20
阿兰	21
这样	22
真	23
他	24
恶心	25
爱个	26
分明	27
只是	28
欲	29
其实	30
对	31
锦衣卫	32
爱情	33
很萌	34
因为	35
很	36
言情小说	37
可惜	38
女主角	39
我要	40
不是	41
被	42
乔花	43
偷	44
令牌	45
青龙	46
吃醋	47
想出	48
箭	49
那里	50
萌到	51
让	52
想起	53
雏菊	54
里	55
郑	56
大叔	57
徐子珊	58
吴尊	59
真是	60
可怕	61
他们	62
完全	63
电影	64
料	65
脱脱	66
这个	67
名字	68
想要	69
雷死	70
观众	71
导演	72
到底	73
想	74
什么	75
剧情	76
混乱	77
老套	78
无趣	79
对白	80
更是	81
白痴	82
失望	83
两星	84
半	85
小	86
明星	87
本色	88
出演	89
老	90
演员	91
自己	92
发挥	93
基本上	94
王力宏	95
表演	96
指导	97
上	98
没有	99
可	100
地方	101
整体	102
结构	103
失衡	104
情节	105
讨巧	106
也	107
一众	108
喜欢	109
原因	110
使得	111
这部	112
演唱会	113
一样	114
不停	115
处女作	116
却	117
体现	118
不	119
出	120
个人	121
风格	122
不能	123
说	124
成功	125
相对来说	126
周董	127
更	128
像	129
一些	130
神马	131
狗血	132
编剧	133
垃圾	134
女	135
猪脚	136
无	137
胸无	138
人	139
胃口	140
一干	141
男	142
基情	143
四射	144
毫无	145
演技	146
虽然	147
很多	148
比	149
你	150
烂	151
但	152
掌握	153
这么	154
多	155
资源	156
拍成	157
给	158
丫	159
一颗	160
星	161
胸闷	162
半顆	163
我們	164
家	165
說	166
這是	167
一部	168
從	169
開始	170
第十二	171
分鐘	172
打哈欠	173
一直	174
最	175
後	176
迫不及待	177
離場	178
商業	179
氣息	180
無比	181
濃重	182
看不得	183
植入	184
廣告	185
三秒	186
狗屎	187
大好河山	188
背景	189
電影	190
順便	191
坐	192
前面	193
落寞	194
合著	195
鬍	196
水	197
留下	198
深刻印象	199
明白	200
為	201
觀眾	202
如此	203
配合	204
这种	205
忒	206
著名	207
历史	208
事件	209
严谨	210
尊重	211
一点	212
预计	213
撒	214
自刎	215
乌江	216
四面楚歌	217
细节	218
太	219
还原	220
实属	221
主要	222
角色	223
刘邦	224
项羽	225
性格	226
塑造	227
失败	228
陈小春	229
饰演	230
樊哙	231
算	232
鲜明	233
黎明	234
上不起	235
不想	236
评论	237
直接	238
败坏	239
影片	240
印象分	241
猪脑子	242
几场	243
战役	244
拍	245
动不动	246
有人	247
跳出	248
来说	249
宋江	250
哥哥	251
妙计	252
一条	253
尼玛	254
本来	255
好好	256
屎	257
知道	258
以为	259
梁山	260
一	261
帮子	262
爷们儿	263
脑残	264
弱智	265
计	266
敢	267
称	268
怎么着	269
人才辈出	270
特技	271
花	272
没关系	273
可以	274
忍	275
剪辑	276
东倒西歪	277
三观	278
坑爹	279
口音	280
陈坤	281
油腻腻	282
油头	283
还是	284
但是	285
志玲	286
姐姐	287
胸	288
真的	289
第一次	290
看	291
很小	292
没见	293
过	294
露骨	295
片子	296
当	297
黄片	298
后来	299
来	300
英国	301
之后	302
又	303
一遍	304
没什么	305
意思	306
萨	307
朗斯	308
通	309
后背	310
挺	311
肥肉	312
现在	313
越开	314
她	315
顺眼	316
大妈	317
谁	318
赵氏	319
孤儿	320
怎么	321
那么	322
拧	323
巴	324
想来想去	325
陈凯歌	326
通过	327
扭曲	328
青少年	329
心理	330
制造	331
人间	332
悲剧	333
叙事	334
模式	335
先是	336
一个	337
馒头	338
引发	339
血案	340
这次	341
少年	342
爹	343
养	344
教	345
养父	346
唆使	347
下	348
为了	349
生父	350
报仇	351
杀	352
教父	353
这是	354
哪门子	355
仁义	356
礼智信	357
赞美	358
一下	359
棒子	360
大片	361
勇气	362
志向	363
简单	364
模式化	365
听到	366
金	367
研究员	368
创造	369
怪物	370
告诉	371
别人	372
忍不住	373
想吐槽	374
扬子	375
终究	376
商人	377
结局	378
那句	379
永远	380
不会	381
那样	382
而	383
学	384
做	385
一只	386
妖	387
部分	388
看到	389
希望	390
特效	391
再	392
明显	393
向	394
独立	395
日	396
看齐	397
从	398
交战	399
规模	400
动人	401
程度	402
洛杉矶	403
朵	404
奇葩	405
大家	406
它	407
周围	408
居住	409
拍电影	410
总要	411
会	412
觉得	413
座	414
城市	415
分	416
外星人	417
题材	418
唷	419
张柏芝	420
童鞋	421
黑	422
眉毛	423
哟	424
奇怪	425
任贤齐	426
饿	427
瘦骨嶙峋	428
黑人	429
好	430
出彩	431
武指	432
专业	433
周海媚	434
邻座	435
男同学	436
流口水	437
空	438
感叹	439
郑佩佩	440
真心	441
跟	442
那日	443
同看	444
朋友	445
关云长	446
众人	447
眼中	448
大致	449
情况	450
无奈	451
片	452
中国	453
搞	454
笑	455
同	456
桌前	457
两日	458
的话	459
腐	460
文化	461
成为	462
新	463
经济	464
变形金刚	465
半小时	466
实在	467
坐立不安	468
已经	469
没	470
闲心	471
诶	472
三	473
巨头	474
大战	475
简直	476
不堪	477
逻辑	478
擎天柱	479
脆弱不堪	480
时	481
威震	482
天	483
突然	484
勃起	485
干掉	486
一带	487
汽车	488
领袖	489
瞬间	490
走出	491
电影院	492
额	493
神	494
两个	495
优秀	496
男人	497
肿么会	498
莫名其妙	499
女人	500
特别	501
开头	502
开着	503
靓车	504
身价	505
不凡	506
古天乐	507
居然	508
一回	509
过头	510
公车	511
里面	512
陌生	513
女子	514
竟然	515
一见钟情	516
最后	517
一幕	518
为什么	519
跳下去	520
啊啊啊	521
吴彦祖	522
普通话	523
好听	524
过高	525
圆圆的	526
苏州	527
字	528
慢	529
俩	530
一起	531
长时间	532
说话	533
属于	534
正常	535
不错	536
能	537
不让	538
睡着	539
博美	540
小葵	541
故事	542
没意思	543
优的	544
干	545
加濑亮	546
酱油	547
死	548
只能	549
欣赏	550
无能	551
无法	552
接受	553
杨峥	554
与	555
文慧	556
再续	557
前缘	558
无论	559
哪个	560
心中	561
停留	562
那个	563
夏天	564
偶尔	565
回味	566
纪念	567
曾经	568
葱白	569
青春	570
鞋拔子	571
脸	572
好看	573
海报	574
长得	575
结果	576
是不是	577
韩剧	578
看多	579
表情	580
要	581
不要	582
丰富	583
抽筋	584
开始	585
连	586
不了	587
一年	588
不到	589
掰	590
弯	591
容易	592
快给我	593
直	594
软妹	595
港剧	596
拿手	597
法政	598
戏	599
完	600
如今	601
各种	602
装	603
另外	604
回去	605
演	606
绿叶	607
小人物	608
只会	609
吹	610
大	611
视效	612
不好	613
劣质	614
廉价	615
魔幻	616
场景	617
浪费	618
胶片	619
无限	620
等到	621
杀害	622
动机	623
唯一	624
亮点	625
就是	626
外婆	627
脑补	628
末路	629
狂花	630
主角	631
如果	632
没死	633
港产	634
一次	635
上次	636
赤壁	637
鸿门宴	638
前半部	639
勉强	640
后半部	641
反感	642
反胃	643
气得	644
找	645
臭	646
鸡蛋	647
掷	648
屏幕	649
强奸	650
鸡奸	651
忧郁	652
颓废	653
悲情	654
死去活来	655
装逼装	656
蛋	657
疼	658
爱得	659
辛苦	660
胸口	661
好像	662
有个	663
洞	664
尔康	665
痛	666
紫薇	667
什	668
麽	669
爛片	670
原書	671
未必	672
喜歡	673
然而	674
這	675
爛到	676
連個	677
串	678
線	679
沒	680
不愧	681
上海	682
老到	683
這個	684
還想	685
著	686
髮	687
大部份	688
北方	689
哪有	690
心思	691
麼	692
妖精	693
那麼	694
來	695
歲	696
似的	697
就算	698
保養	699
譜	700
国产	701
童话	702
把	703
小孩儿	704
耍	705
玩	706
带上	707
灰机	708
巴黎	709
男主角	710
深沉	711
嗦	712
抱歉	713
用	714
方式	715
了解	716
是我太	717
现实	718
此	719
傻	720
哈哈哈哈	721
趴	722
新闻	723
中心	724
国际	725
驻伊美军	726
枪杀	727
伊拉克	728
平民	729
美军	730
屠杀	731
伊	732
表示遗憾	733
今后	734
不误	735
自拍	736
滥杀	737
过程	738
电脑	739
发现	740
照片	741
图	742
名	743
士兵	744
被控	745
三名	746
美国	747
海军	748
指控	749
一星	750
画面	751
声音	752
唯美	753
设定	754
加上	755
内涵	756
活着	757
重要	758
真想	759
砍死	760
贡献	761
点	762
寂寞	763
空虚	764
以外	765
东西	766
宫	767
爷爷	768
想学	769
能学	770
所谓	771
画虎不成反类犬	772
原型	773
